"Name","Location","FunctionSignature","FunctionSize"
"SetWaveFlag1","005dc220","void SetWaveFlag1(AWaveBank * param_1_00, int param_2)","29"
"SetWaveFlag2","005dc240","void SetWaveFlag2(AWaveBank * this, int param_2)","29"
"FUN_005dc260","005dc260","int FUN_005dc260(void * this, int param_1)","16"
"FUN_005dc290","005dc290","undefined FUN_005dc290(undefined4 param_1)","19"
"FindNode","005dc2b0","void * FindNode(T2GenericRedBlackTree * this, int * param_2, TPString8 * param_3)","78"
"FUN_005dc300","005dc300","undefined FUN_005dc300()","74"
"FindWaveBank","005dc350","AWaveBank * FindWaveBank(TPString8 * param_1)","62"
"ParseWavesData","005dc390","void ParseWavesData(AWaveBank * this, PBProperties * a_pBankProperties, TUINT a_uiForcedFlags)","532"
"AllocateWaveBank","005dc5b0","AWaveBank * AllocateWaveBank(TPString8 * a_strBank, TPString8 * a_strLibrary, TPString8 * a_strType, TPString8 * a_strPath)","403"
"FUN_005dc750","005dc750","void FUN_005dc750(int param_1)","101"
"FUN_005dc7c0","005dc7c0","undefined FUN_005dc7c0(undefined4 param_1)","78"
"LoadWaveBankFromAsset","005dc810","void * LoadWaveBankFromAsset(TString8 * param_1, TUINT a_uiForcedFlags)","952"
"FUN_005dcbd0","005dcbd0","undefined FUN_005dcbd0()","120"
"FUN_005dcc50","005dcc50","void FUN_005dcc50(T2GenericRedBlackTree * param_1_00, T2GenericRedBlackTreeNode * * param_2, TPString8 * param_3)","172"
"FUN_005dcd00","005dcd00","T2GenericRedBlackTreeNode * * FUN_005dcd00(T2GenericRedBlackTree * param_1_00, T2GenericRedBlackTreeNode * * param_2, TPString8 * param_3, undefined4 * param_4)","132"
"AWaveBank","005dcd90","AWaveBank * AWaveBank(AWaveBank * param_1_00, TPString8 * a_strBank, TPString8 * param_3, bool param_4)","149"
"~AWaveBank","005dce30","void ~AWaveBank(AWaveBank * param_1)","232"
